Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
Sonoma,64018,313069,FALSE,38.48316382,-122.7509613,523,1002,137,11,479,386,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,245413,76975,TRUE,38.48862068,-122.7478691,-1,-1,17,93,266,-1,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,232796,510559,TRUE,38.48862395,-122.7490484,450,590,78,93,140,372,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,258526,797985,TRUE,38.48862932,-122.7505214,467,721,272,87,254,195,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,20290,152697,TRUE,38.4954268,-122.7476927,1004,1465,102,287,461,902,1,1.158201985,1950,Post1940,RES1,2,TRUE,1275,Custom,218885.625
Sonoma,375319,614367,TRUE,38.48971358,-122.7489295,417,665,53,118,248,364,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,195433,321446,FALSE,38.49203846,-122.7370511,341,603,96,94,262,245,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,170216,50043,FALSE,38.49256767,-122.7367749,762,1169,188,92,407,574,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,143552,221245,TRUE,38.4962774,-122.7411974,559,841,61,304,282,498,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,94361,70140,TRUE,38.49585429,-122.7412687,509,693,56,297,184,453,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,433180,733783,TRUE,38.49692163,-122.7358121,827,1064,199,81,237,628,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Custom,278715
Sonoma,176825,156422,TRUE,38.50122639,-122.7375363,-1,-1,518,171,552,-1,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,197110,107420,TRUE,38.5016636,-122.734742,-1,-1,8,58,231,-1,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,763332,648967,TRUE,38.49882421,-122.7376554,790,1058,70,184,268,720,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,225692,198879,TRUE,38.50086649,-122.7363685,626,1185,38,111,559,588,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,365991,853784,TRUE,38.50297141,-122.7339699,589,833,50,39,244,539,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,182016,400377,FALSE,38.5029554,-122.736902,532,988,139,127,456,393,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,238838,416826,TRUE,38.50323289,-122.7364228,-1,-1,85,106,266,-1,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,303418,582632,TRUE,38.50338774,-122.7361576,895,1120,79,95,225,816,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,272957,453201,FALSE,38.50414284,-122.7350052,-1,-1,55,58,191,-1,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,13603,193088,TRUE,38.49196358,-122.7320921,546,1098,158,7,552,388,1,1.158201985,1950,Post1940,RES1,3,FALSE,1700,Average,217498
Sonoma,319739,1562749,FALSE,38.49300152,-122.7278032,-1,-1,134,3,1227,-1,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,16616,87881,TRUE,38.4983447,-122.749773,374,605,83,285,231,291,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,144132,663000,FALSE,38.49780591,-122.7502276,425,981,101,275,556,324,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,236803,373645,TRUE,38.50006955,-122.7418061,295,1305,54,317,1010,241,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,249873,446953,TRUE,38.49982316,-122.7421004,632,939,36,317,307,596,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Custom,278715
Sonoma,247026,618340,FALSE,38.50010488,-122.7439764,156,772,21,313,616,135,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,16158,59394,TRUE,38.50058813,-122.7432615,221,370,76,313,149,145,1,1.158201985,1950,Post1940,RES1,1,TRUE,1275,Average,159196.5
Sonoma,234456,620911,TRUE,38.50049094,-122.7429021,309,624,34,315,315,275,1,1.158201985,1960,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,135411,322565,TRUE,38.50036461,-122.7425503,297,521,24,316,224,273,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,207707,332005,FALSE,38.49944327,-122.7443764,234,506,-1,312,272,335,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,16158,49659,TRUE,38.49889909,-122.7443838,399,954,132,310,555,267,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,204718,397626,TRUE,38.49909983,-122.7439924,-1,-1,153,314,357,-1,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,138686,259180,TRUE,38.4995277,-122.7436653,349,562,47,315,213,302,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,135411,181121,TRUE,38.4994018,-122.7432618,390,538,91,315,148,299,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,243615,270067,FALSE,38.49962816,-122.7409674,418,776,63,314,358,355,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,321540,458406,TRUE,38.49946716,-122.7416372,886,1133,85,317,247,801,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,234037,454117,FALSE,38.49930365,-122.7419679,487,965,106,318,478,381,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,84434,168885,FALSE,38.49918488,-122.7422876,-1,-1,-1,318,286,-1,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,248487,308448,TRUE,38.49878333,-122.7432613,457,1010,153,313,553,304,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,265200,555900,TRUE,38.49862533,-122.7437995,480,892,86,313,412,394,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,42673,127497,TRUE,38.49822082,-122.7433899,550,654,129,310,104,421,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,13391,44104,TRUE,38.49813626,-122.7427413,499,1018,56,312,519,443,1,1.158201985,1960,Post1940,RES1,2,TRUE,1275,Average,163215.9375
Sonoma,132949,271083,TRUE,38.49808846,-122.742413,465,682,98,312,217,367,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,265200,102000,TRUE,38.49798664,-122.7420318,967,1339,92,311,372,875,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,138323,577117,FALSE,38.49806312,-122.7417236,456,868,121,311,412,335,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,87848,163485,TRUE,38.4984,-122.7417259,325,682,78,311,357,247,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,132949,186875,TRUE,38.49868094,-122.7416646,491,945,128,315,454,363,1,1.158201985,1940,Post1940,RES1,2,TRUE,1275,Average,163215.9375
Sonoma,107704,46642,TRUE,38.49915082,-122.7411133,937,1302,90,314,365,847,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,268406,450483,FALSE,38.49893311,-122.74114,230,407,46,312,177,184,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Custom,271167
Sonoma,303418,554992,TRUE,38.49872912,-122.7411404,280,517,70,312,237,210,1,1.158201985,1960,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,284058,485502,FALSE,38.49852565,-122.7411527,483,996,64,312,513,419,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,27241,44105,FALSE,38.49819976,-122.7411918,595,987,86,308,392,509,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,26110,294329,FALSE,38.49802682,-122.7446805,316,514,70,306,198,246,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,287627,430894,TRUE,38.49799635,-122.7443876,429,681,49,307,252,380,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,16158,121274,TRUE,38.49797528,-122.7440571,-1,-1,53,309,185,-1,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,248487,436583,FALSE,38.49754021,-122.7437275,721,989,369,309,268,352,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,65634,190258,TRUE,38.49620909,-122.7431369,404,622,-1,307,218,-1,1,1.158201985,1960,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,228717,315743,TRUE,38.49656116,-122.7431122,591,874,88,311,283,503,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,184433,152019,TRUE,38.49724735,-122.7432022,-1,-1,94,309,207,-1,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,33461,152758,TRUE,38.49772549,-122.7426924,269,741,125,311,472,144,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,53347,147616,TRUE,38.49764026,-122.7423724,629,1029,159,312,400,470,1,1.158201985,1950,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,53354,135532,TRUE,38.49764267,-122.7419921,-1,-1,117,311,225,-1,1,1.158201985,1940,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,16158,25215,FALSE,38.49688583,-122.7422262,1123,1591,-1,310,468,-1,1,1.158201985,1960,Post1940,RES1,2,FALSE,1700,Average,208675
Sonoma,16158,81121,TRUE,38.49627354,-122.7426203,332,521,72,309,189,260,1,1.158201985,1940,Post1940,RES1,1,FALSE,1700,Average,198322
Sonoma,16158,166839,FALSE,38.49629938,-122.7419901,718,1039,225,307,321,493,1,1.158201985,1950,Post1940,RES1,2,FALSE,1700,Average,208675
