,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,Image2008,Image2009,Image2010,Image2011,Image2012,Image2013,Image2014,Image2015,Image2016,Image2017,Image2018,Image2019,Image2020,Image2021,Image2022,Image2023,Image2024
3963,Paradise,87490,70000,False,39.750609,-121.593458,0,1251,0,141,803,448,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3964,Paradise,136652,599479,False,39.726703,-121.646879,0,1131,0,32,804,327,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3965,Paradise,35190,27000,False,39.736149,-121.59493,0,-1,0,48,804,-1,1,0.600070053,1950,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3966,Paradise,155000,250000,False,39.740691,-121.645047,0,1079,0,85,804,275,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3967,Paradise,150000,340000,False,39.73506,-121.576237,0,1093,0,68,804,289,1,0.600070053,1960,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3968,Paradise,155000,347000,False,39.735041,-121.577306,0,1093,0,63,804,289,1,0.600070053,1950,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3969,Paradise,23125,94300,False,39.74407,-121.573762,0,960,0,77,806,154,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3970,Paradise,36791,27597,False,39.780548,-121.59635,0,900,0,107,806,94,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3971,Paradise,44086,150000,False,39.775021,-121.622775,0,937,0,120,809,128,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3972,Paradise,90542,99332,True,39.768365,-121.628025,0,1328,0,137,809,519,1,0.600070053,1960,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3973,Paradise,101891,202886,False,39.754313,-121.64756,0,988,0,18,810,178,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3974,Paradise,69304,149654,False,39.743695,-121.644468,0,963,0,72,810,153,1,0.600070053,1950,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3975,Paradise,32977,372300,False,39.761023,-121.595663,0,1239,0,121,810,429,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3976,Paradise,79647,142336,False,39.781706,-121.586417,0,1027,0,90,810,217,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3977,Paradise,27329,145500,False,39.755436,-121.572801,0,-1,0,38,810,-1,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3978,Paradise,45124,96582,False,39.756894,-121.605553,0,999,0,75,811,188,1,0.600070053,1940,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3979,Paradise,40463,147093,True,39.794239,-121.580135,0,1065,0,74,812,253,1,0.600070053,1940,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3980,Paradise,40800,325000,False,39.745678,-121.631682,0,1106,0,99,812,294,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3981,Paradise,39399,87006,False,39.772055,-121.625196,0,984,0,120,812,172,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3982,Paradise,117300,375360,False,39.758746,-121.588106,0,917,0,147,812,105,1,0.600070053,1940,Post1940,RES1,2,True,1125,Economic,121320.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3983,Paradise,45000,70000,True,39.77373,-121.630681,0,1392,0,91,813,579,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3984,Paradise,36720,350000,False,39.770115,-121.616831,0,1344,0,112,813,531,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3985,Paradise,40800,200000,False,39.750416,-121.582587,0,1230,0,94,813,417,1,0.600070053,1960,Post1940,RES1,1,True,1125,Economic,117250.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3986,Paradise,25500,100000,False,39.770579,-121.608169,0,1307,0,121,816,491,1,0.600070053,1950,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3987,Paradise,109363,105000,True,39.754642,-121.600166,0,1247,0,120,817,430,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3988,Paradise,67711,85907,True,39.776569,-121.626027,0,1120,0,73,817,303,1,0.600070053,1950,Post1940,RES1,2,False,1500,Average,184125.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3989,Paradise,45900,145000,False,39.743328,-121.644846,0,1345,0,76,818,527,1,0.600070053,1950,Post1940,RES1,1,True,1125,Average,140467.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3990,Paradise,72407,107031,False,39.745821,-121.634264,0,1006,0,88,818,188,1,0.600070053,1960,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3991,Paradise,135000,302000,False,39.758764,-121.638952,0,-1,0,69,818,-1,1,0.600070053,1950,Post1940,RES1,2,True,1125,Economic,121320.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3992,Paradise,39780,200000,False,39.737791,-121.573132,0,1282,0,85,819,463,1,0.600070053,1940,Post1940,RES1,1,False,1500,Average,174990.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3993,Paradise,95338,160110,True,39.766003,-121.637295,0,1093,0,92,824,269,1,0.600070053,1940,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3994,Paradise,25764,197000,False,39.749863,-121.604845,0,1219,0,71,825,394,1,0.600070053,1940,Post1940,RES1,2,False,1500,Economic,156060.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3995,Paradise,38130,178500,False,39.779315,-121.613506,0,945,0,73,825,120,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3996,Paradise,107219,281029,True,39.744368,-121.594163,0,939,0,120,825,114,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3997,Paradise,85371,335000,False,39.771667,-121.634056,0,1279,0,76,827,452,1,0.600070053,1940,Post1940,RES1,2,False,1500,Average,184125.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3998,Paradise,60852,138802,False,39.744705,-121.622401,0,1021,0,65,827,194,1,0.600070053,1950,Post1940,RES1,1,False,1500,Economic,146415.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3999,Paradise,80414,191575,False,39.778286,-121.588489,0,915,0,117,831,84,1,0.600070053,1940,Post1940,RES1,2,False,1500,Average,184125.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
